Date,VEA,EEM,VWO,TIP,SHV,IGOV,GSG,DJP,VNQ,EFA
4/1/2010,24.879408,34.126236,32.464676,86.872444,104.428093,43.639622,32.139999,40.619999,35.328655,40.30122
5/1/2010,22.011549,30.920559,29.48527,87.276482,104.44043,42.197491,27.77,37.75,33.443993,35.790382
6/1/2010,21.612411,30.287533,29.323172,88.078171,104.474556,42.515793,27.790001,37.639999,31.403997,34.44973
7/1/2010,24.132875,33.821186,32.31802,88.082382,104.45182,44.908718,29.389999,40.34,34.742012,39.122139
8/1/2010,23.268084,32.726494,31.492123,89.867081,104.477386,45.173698,27.780001,39.360001,34.298782,37.637444
9/1/2010,25.51506,36.574265,35.089005,90.711624,104.503975,47.321712,30.01,42.279999,35.512547,41.390629
10/1/2010,26.549862,37.677132,36.177341,92.866684,104.503014,47.898388,30.879999,44.470001,37.531597,42.965767
11/1/2010,25.248974,36.582428,35.150757,91.199158,104.502045,44.76606,31.26,44.27,36.8367,40.893211
12/1/2010,26.71986,38.918873,37.165344,89.771492,104.529541,45.91687,34.099998,49.119999,38.095783,43.877689
1/1/2011,27.972429,37.737312,36.50808,90.156273,104.528603,46.616081,35.16,49.540001,39.76503,45.218773
2/1/2011,28.994967,37.720837,36.445251,90.667709,104.528603,46.882347,36.09,50.330002,41.636089,46.823933
3/1/2011,28.26025,40.093319,38.439884,91.654243,104.547562,47.250465,37.349998,51.349998,40.669262,45.705647
4/1/2011,30.019739,41.18895,39.735611,93.570557,104.603584,49.196159,38.939999,53.110001,43.319557,48.276966
5/1/2011,29.209011,39.977989,38.565533,93.818245,104.594048,48.350815,36.27,50.330002,43.915089,47.211922
6/1/2011,28.852892,39.211868,38.180733,94.135063,104.612091,48.470322,34.110001,47.23,42.107471,45.751286
7/1/2011,28.163399,39.196316,37.945148,98.066399,104.554199,49.317062,35.189999,49.130001,43.130417,45.5313
8/1/2011,25.746359,35.568726,34.497738,98.869926,104.599762,50.244698,34.59,49.470001,40.706799,41.545082
9/1/2011,22.829247,29.203791,28.136894,99.358246,104.613976,47.971828,30.190001,41.740002,35.944366,37.054768
10/1/2011,25.056856,33.954605,32.613033,101.270821,104.599762,48.289654,33.290001,44.740002,41.480202,40.622196
11/1/2011,24.53405,33.289001,32.055477,101.642014,104.586456,45.973183,33.790001,43.849998,39.903465,39.738106
12/1/2011,23.208092,31.566725,30.005884,101.913437,104.609238,46.255554,32.98,42.240002,41.380325,38.411945
1/1/2012,25.357933,35.372055,34.034142,104.460983,104.598831,46.281281,33.77,43,44.507961,40.922291
2/1/2012,26.596434,37.236839,35.883392,103.857079,104.589287,47.444992,35.869999,44.220001,43.9958,42.90012
3/1/2012,26.674829,36.077641,34.950745,102.964439,104.579811,46.940979,34.779999,42.32,45.914604,43.080631
4/1/2012,26.048328,35.464451,34.21907,104.513481,104.579811,47.543774,34.66,42.119999,47.607071,42.185905
5/1/2012,23.139261,31.667686,30.568827,106.460754,104.608299,45.939049,30.23,38.02,45.46196,37.484634
6/1/2012,24.754539,32.86887,32.104492,105.423889,104.598831,46.397617,30.440001,40.18,47.577991,39.211308
7/1/2012,24.817268,33.253769,32.168816,107.669968,104.598831,46.886562,32.23,42.93,48.930557,40.156914
8/1/2012,25.632748,33.389778,32.249218,107.722595,104.617783,47.930035,34.540001,43.529999,48.923222,41.441936
9/1/2012,25.781729,35.13237,33.543697,108.273865,104.608299,48.714645,33.799999,44.209999,47.632874,42.56633
10/1/2012,26.586975,34.979366,33.774525,108.949722,104.599777,49.367981,32.439999,42.349998,47.575684,43.032143
11/1/2012,27.307064,35.523396,34.205956,109.296532,104.61113,49.009624,32.959999,42.48,47.450058,44.228825
12/1/2012,28.187166,37.699509,36.249195,108.220589,104.649132,49.017818,32.790001,41.349998,48.625042,45.666447
1/1/2013,29.556831,37.829048,36.647999,108.093529,104.622505,49.430866,34.290001,42.299999,51.056507,47.887863
2/1/2013,29.217468,36.965015,35.784435,108.299355,104.613029,48.069118,32.540001,40.360001,51.677322,47.270794
3/1/2013,29.435625,36.588615,35.282757,108.532051,104.625366,47.840508,32.900002,40.619999,52.754395,47.887863
4/1/2013,31.107746,37.033463,36.039516,109.319649,104.645271,48.972363,31.290001,39.470001,56.741856,50.291187
5/1/2013,30.182562,35.245525,34.211189,104.537888,104.635803,47.436626,30.809999,38.310001,53.350018,48.772873
6/1/2013,28.892145,32.935738,31.94636,100.566925,104.616837,46.373646,30.799999,36.490002,51.797291,46.523815
7/1/2013,30.863548,33.810455,32.604599,101.594063,104.645271,47.536995,32.540001,37.009998,52.764465,49.993355
8/1/2013,30.36907,32.952396,31.486063,99.809631,104.645271,47.176807,33.549999,38.459999,49.081448,49.015854
